wrong_name;official_name
Atari - Jaguar CD;Atari Jaguar CD
'''Atari Lynx''';Atari Lynx
Atari Lynx;Atari Lynx
AtariLynx;Atari Lynx
atarilynx;Atari Lynx
Lynx;Atari Lynx
lynx;Atari Lynx
Lynx Official;Atari Lynx
Atari - Lynx;Atari Lynx
'''Atari ST''';Atari ST
Atari ST;Atari ST
atarist;Atari ST
ST/STE/TT/Falcon;Atari ST
Atari - ST;Atari ST
Atari STE;Atari STE
Atari - STE;Atari STE
Atari TT;Atari TT
Atari - TT;Atari TT
Atari XEGS;Atari XEGS
Atari - XEGS;Atari XEGS
Bally Astrocade;Bally Astrocade
Bally - Astrocade;Bally Astrocade
'''Bandai WonderSwan''';Bandai WonderSwan
WonderSwan;Bandai WonderSwan
Bandai WonderSwan;Bandai WonderSwan
wonderswan;Bandai WonderSwan
Wonderswan;Bandai WonderSwan
WonderSwan Official;Bandai WonderSwan
wswan;Bandai WonderSwan
Bandai - WonderSwan;Bandai WonderSwan
'''Bandai WonderSwan Color''';Bandai WonderSwan Color
WonderSwan Color;Bandai WonderSwan Color
Bandai - WonderSwan Color;Bandai WonderSwan Color
'''Bandai Wonderswan Color''';Bandai Wonderswan Color
Bandai WonderSwan Color;Bandai WonderSwan Color
Bandai Wonderswan Color;Bandai Wonderswan Color
Wonderswan Color;Bandai WonderSwan Color
WonderSwan Color Official;Bandai WonderSwan Color
wonderswancolor;Bandai Wonderswan Color
wswanc;Bandai Wonderswan Color
Bandai - WonderSwan - Color;Bandai WonderSwan Color
Bandai - Wonderswan - Color;Bandai Wonderswan Color
Character;character
'''ColecoVision''';ColecoVision
Coleco;ColecoVision
Coleco - ColecoVision;ColecoVision
colecovision;ColecoVision
ColecoVision;ColecoVision
Colecovision;ColecoVision
ColecoVision Official;ColecoVision
'''Commodore 128''';Commodore 128
c128;Commodore 128
Commodore 128;Commodore 128
Commodore - 128;Commodore 128
Commodore 16 & Plus4;Commodore 16 & Plus4
Commodore - 16 - & - Plus4;Commodore 16 & Plus4
'''Commodore 20''';Commodore 20
c20;Commodore 20
Commodore 20;Commodore 20
Commodore - 20;Commodore 20
'''Commodore 64''';Commodore 64
Commodore - 64;Commodore 64
c16;Commodore 64
c64;Commodore 64
Commodore 64;Commodore 64
Commodore 64 Official;Commodore 64
'''Commodore Amiga''';Commodore Amiga
Commodore - Amiga;Commodore Amiga
amiga;Commodore Amiga
Amiga;Commodore Amiga
Amiga Official;Commodore Amiga
Commodore Amiga;Commodore Amiga
'''Commodore Amiga 1200''';Commodore Amiga 1200
amiga1200;Commodore Amiga 1200
Commodore Amiga 1200;Commodore Amiga 1200
Commodore - Amiga - 1200;Commodore Amiga 1200
'''Commodore Amiga 500''';Commodore Amiga 500
amiga500;Commodore Amiga 500
Commodore Amiga 500;Commodore Amiga 500
Commodore Amiga_500;Commodore Amiga 500
Commodore - Amiga - 500;Commodore Amiga 500
'''Commodore Amiga 600''';Commodore Amiga 600
amiga4000;Commodore Amiga 600
amiga600;Commodore Amiga 600
Commodore Amiga 600;Commodore Amiga 600
Commodore Amiga_600;Commodore Amiga 600
Commodore Amiga600;Commodore Amiga 600
Commodore - Amiga - 600;Commodore Amiga 600
'''Commodore Amiga CD32''';Commodore Amiga CD32
amigacd32;Commodore Amiga CD32
Commodore - Amiga CD;Commodore Amiga CD32
Commodore - Amiga CD32;Commodore Amiga CD32
Commodore Amiga 32;Commodore Amiga CD32
Commodore Amiga CD;Commodore Amiga CD32
Commodore Amiga CD32;Commodore Amiga CD32
Commodore Amiga_CD32;Commodore Amiga CD32
Commodore - Amiga - CD32;Commodore Amiga CD32
'''Commodore Amiga CDTV''';Commodore Amiga CDTV
amigacdtv;Commodore Amiga CDTV
Commodore Amiga CDTV;Commodore Amiga CDTV
Commodore - Amiga - CDTV;Commodore Amiga CDTV
Commodore CDTV;Commodore CDTV
Commodore - CDTV;Commodore CDTV
'''Commodore PET''';Commodore PET
Commodore PET;Commodore PET
pet;Commodore PET
Commodore - PET;Commodore PET
'''Commodore VIC-20''';Commodore VIC-20
Commodore VIC-20;Commodore VIC-20
Commodore VIC-20 Official;Commodore VIC-20
vic20;Commodore VIC-20
Commodore - VIC-20;Commodore VIC-20
Controller;controller
'''daphne''';Daphne
Daphne;Daphne
Daphne - Daphne Laser Disc;Daphne
daphne;Daphne
DICE;DICE
EACA EG2000 Colour Genie;EG2000 Colour Genie
EG2000 - Colour - Genie;EG2000 Colour Genie
Emerson Arcadia 2001;Emerson Arcadia 2001
Emerson - Arcadia 2001;Emerson Arcadia 2001
Emerson - Arcadia - 2001;Emerson Arcadia 2001
Entech - Adventure Vision;Entech Adventure Vision
Entex Adventure Vision;Entex Adventure Vision
Entex - Adventure Vision;Entex Adventure Vision
Entex - Adventure - Vision;Entex Adventure Vision
'''Fairchild Channel F''';Fairchild Channel F
Fairchild - Channel F;Fairchild Channel F
channelf;Fairchild Channel F
Fairchild Channel F;Fairchild Channel F
Fairchild Channel_F;Fairchild Channel F
Fairchild ChannelF;Fairchild Channel F
FairchildChannel F;Fairchild Channel F
Fairchild - Channel - F;Fairchild Channel F
'''Fujitsu FM Towns''';Fujitsu FM Towns
Fujitsu - FM Towns;Fujitsu FM Towns
fmtowns;Fujitsu FM Towns
Fujitsu FM Towns;Fujitsu FM Towns
Fujitsu - FM - Towns;Fujitsu FM Towns
Fujitsu - FM-7;Fujitsu FM-7
'''Future Pinball''';Future Pinball
fpinball ;Future Pinball
Future Pinball;Future Pinball
Future - Pinball;Future Pinball
GamePark 32;GamePark GP32
GamePark - GP32;GamePark GP32
'''GCE Vectrex''';GCE Vectrex
GCE Vectrex;GCE Vectrex
vectrex;GCE Vectrex
Vectrex Official;GCE Vectrex
GCE - Vectrex;GCE Vectrex
GG;GOG.com
GOG;GOG.com
GOG.com;GOG.com
'''Interton VC 4000''';Interton VC 4000
Interton VC 4000;Interton VC 4000
vc4000;Interton VC 4000
Interton - VC - 4000;Interton VC 4000
Interon - Interon VC 4000;Interton VC 4000
Java Games;Java Games
Java - Games;Java Games
Laser Disc Official;LaserDisc
'''Magnavox Odyssey''';Magnavox Odyssey
Magnavox Odyssey;Magnavox Odyssey
odyssey;Magnavox Odyssey
Magnavox - Odyssey;Magnavox Odyssey
'''Magnavox Odyssey 2''';Magnavox Odyssey 2
Magnavox Odyssey 2;Magnavox Odyssey 2
Magnavox Odyssey2;Magnavox Odyssey 2
odyssey2;Magnavox Odyssey 2
Odyssey2/Videopac+;Magnavox Odyssey 2
Magnavox - Odyssey - 2;Magnavox Odyssey 2
'''Magnavox Odyssey2''';Magnavox Odyssey2
Odyssey 2 Official;Magnavox Odyssey2
Magnavox - Odyssey2;Magnavox Odyssey2
'''Main''';Main
Main;Main
main;Main
main;Main
- Arcade Official;Mame
MAME - Arcade;Mame
'''Mame''';Mame
arcade;Mame
ARCADE;Mame
Arcade;Mame
mame;Mame
MaMe;Mame
Mame;Mame
MAME;Mame
MAME 2000;Mame
MAME 2003;Mame
MAME 2010;Mame
MAME 2014;Mame
MAME2003;Mame
MAME2003+;Mame
MAME2010;Mame
'''Mame Hack''';Mame Hack
HBMAME;Mame Hack
Mame Hack;Mame Hack
mameh;Mame Hack
Mame - Hack;Mame Hack
Mattel - Aquarius;Mattel Aquarius
'''Mattel Intellivision''';Mattel Intellivision
intellivision;Mattel Intellivision
Intellivision;Mattel Intellivision
Intellivision Official;Mattel Intellivision
Mattel Intellivision;Mattel Intellivision
Mattel - Intellivision;Mattel Intellivision
Memotech - MTX;Memotech MTX
Menuextra;menuextra
menuextra1;menuextra_1
menuextra2;menuextra_2
menuextra3;menuextra_3
menuextra4;menuextra_4
menuextra;menuextra_5
'''MGT Sam Coupe''';MGT Sam Coupe
MGT Sam Coupe;MGT Sam Coupe
samcoupe;MGT Sam Coupe
MGT - Sam - Coupe;MGT Sam Coupe
MGT - Sam Coupe;MGT Sam Coupe
'''Microsoft MS-DOS''';Microsoft MS-DOS
Microsoft - DOS;Microsoft MS-DOS
dos;Microsoft MS-DOS
DOS;Microsoft MS-DOS
DOSBox;Microsoft MS-DOS
Microsoft MS-DOS;Microsoft MS-DOS
msdos;Microsoft MS-DOS
Microsoft - MS-DOS;Microsoft MS-DOS
'''Microsoft MSX''';Microsoft MSX
Microsoft MSX;Microsoft MSX
msx;Microsoft MSX
MSX;Microsoft MSX
MSX Mame Official;Microsoft MSX
MSX/SVI/ColecoVision/SG-1000;Microsoft MSX
msx1;Microsoft MSX
Microsoft - MSX;Microsoft MSX
'''Microsoft MSX Turbo-R''';Microsoft MSX Turbo-R
Microsoft MSX Turbo-R;Microsoft MSX Turbo-R
MSX Turbo-R;Microsoft MSX Turbo-R
msxturbor;Microsoft MSX Turbo-R
Microsoft - MSX - Turbo-R;Microsoft MSX Turbo-R
'''Microsoft MSX2''';Microsoft MSX2
Microsoft MSX2;Microsoft MSX2
msx2;Microsoft MSX2
Microsoft - MSX2;Microsoft MSX2
'''Microsoft MSX2+''';Microsoft MSX2+
Microsoft MSX2+;Microsoft MSX2+
Microsoft - MSX2+;Microsoft MSX2+
msx2+;Microsoft MSX2+
'''Microsoft Xbox''';Microsoft Xbox
Microsoft Xbox;Microsoft Xbox
Microsoft - XBOX;Microsoft Xbox
xbox;Microsoft Xbox
Microsoft - Xbox;Microsoft Xbox
xemu;Microsoft Xbox
xemu-win-release;Microsoft Xbox
Xemu;Microsoft Xbox
cxbx;Microsoft Xbox
CxbxReloaded;Microsoft Xbox
Cxbx Reloaded;Microsoft Xbox
CxbxReloaded;Microsoft Xbox (Cxbx)
Cxbx;Microsoft Xbox (Cxbx)
Cxbx-Reloaded;Microsoft Xbox (Cxbx)
'''Microsoft Xbox 360''';Microsoft Xbox 360
Microsoft - XBOX 360;Microsoft Xbox 360
Microsoft Xbox 360;Microsoft Xbox 360
xbox360;Microsoft Xbox 360
Microsoft - Xbox - 360;Microsoft Xbox 360
xenia;Microsoft Xbox 360
Xenia;Microsoft Xbox 360
xenia_master;Microsoft Xbox 360
Microsoft Xbox One;Microsoft Xbox One
Microsoft - Xbox - One;Microsoft Xbox One
'''Mugen''';Mugen
mugen;Mugen
Mugen;Mugen
Music Player;Music Player
Music - Player;Music Player
'''NEC PC Engine''';NEC PC Engine
NEC - PC Engine - JAP;NEC PC Engine
NEC - PC Engine;NEC PC Engine
NEC PC Engine;NEC PC Engine
PC Engine;NEC PC Engine
PC Engine Official;NEC PC Engine
pcengine;NEC PC Engine
pce;NEC PC Engine
NEC - PC - Engine;NEC PC Engine
'''NEC PC Engine-CD''';NEC PC Engine-CD
NEC PC Engine-CD;NEC PC Engine-CD
PC Engine CD Official;NEC PC Engine-CD
PC Engine/CD;NEC PC Engine-CD
pce-cd;NEC PC Engine-CD
PCE-CD;NEC PC Engine-CD
pcenginecd;NEC PC Engine-CD
NEC - PC - Engine-CD;NEC PC Engine-CD
'''NEC PC-8801''';NEC PC-8801
NEC PC-8801;NEC PC-8801
pc88;NEC PC-8801
NEC - PC-8801;NEC PC-8801
'''NEC PC-9801''';NEC PC-9801
NEC PC-9801;NEC PC-9801
PC-98;NEC PC-9801
pc98;NEC PC-9801
NEC - PC98;NEC PC-9801
NEC - PC-9801;NEC PC-9801
'''NEC PC-FX''';NEC PC-FX
NEC PC-FX;NEC PC-FX
NEC PCFX;NEC PC-FX
PC-FX;NEC PC-FX
pcfx;NEC PC-FX
NEC - PC-FX;NEC PC-FX
'''NEC SuperGrafx''';NEC SuperGrafx
NEC SuperGrafx;NEC SuperGrafx
PC Engine Supergrafx;NEC SuperGrafx
PCE SuperGrafx;NEC SuperGrafx
SuperGrafx;NEC SuperGrafx
SuperGfx;NEC SuperGrafx
Superfx;NEC SuperGrafx
Gfx;NEC SuperGrafx
supergrafx;NEC SuperGrafx
NEC - SuperGrafx;NEC SuperGrafx
NEC - PC Engine SuperGrafx;NEC SuperGrafx
'''NEC TurboGrafx-16''';NEC TurboGrafx-16
tgx16;NEC TurboGrafx-16
Tgx16;NEC TurboGrafx-16
NEC TurboGrafx-16;NEC TurboGrafx-16
NEC - PC Engine - TurboGrafx 16;NEC TurboGrafx-16
NEC - TurboGrafx 16;NEC TurboGrafx-16
tg16;NEC TurboGrafx-16
NEC - TurboGrafx-16;NEC TurboGrafx-16
TurboGrafx-16;NEC TurboGrafx-16
'''NEC Turbografx-CD''';NEC Turbografx-CD
TurboGrafx-CD;NEC Turbografx-CD
NEC - PC Engine CD - TurboGrafx CD;NEC Turbografx-CD
TurboGrafx CD;NEC Turbografx-CD
NEC - TurboGrafx CD;NEC Turbografx-CD
NEC Turbo Duo;NEC Turbografx-CD
NEC TurboGrafx-CD;NEC TurboGrafx-CD
tg16cd;NEC Turbografx-CD
NEC - Turbografx-CD;NEC Turbografx-CD
NEC - TurboGrafx-CD;NEC TurboGrafx-CD
'''NEC TurboGrafx-Express''';NEC TurboGrafx-Express
NEC TurboGrafx-Express;NEC TurboGrafx-Express
tg-express;NEC TurboGrafx-Express
NEC - TurboGrafx-Express;NEC TurboGrafx-Express
'''NESiCAxLive''';NESiCAxLive
NESiCAxLive;NESiCAxLive
Taito NESiCAxLive;NESiCAxLive
'''Nintendo 3DS''';Nintendo 3DS
Nintendo - Nintendo 3DS;Nintendo 3DS
3ds;Nintendo 3DS
3DS;Nintendo 3DS
n3ds;Nintendo 3DS
Nintendo 3DS;Nintendo 3DS
Nintendo - 3DS;Nintendo 3DS
citra;Nintendo 3DS
Citra;Nintendo 3DS
citra-setup-windows;Nintendo 3DS
'''Nintendo 3DS Brazil Games Translated''';Nintendo 3DS Brazil Games Translated
3DS Br;Nintendo 3DS Brazil Games Translated
3DS Brazil;Nintendo 3DS Brazil Games Translated
3dsbr;Nintendo 3DS Brazil Games Translated
n3dsbr;Nintendo 3DS Brazil Games Translated
Nintendo 3DS Brazil Games Translated;Nintendo 3DS Brazil Games Translated
Nintendo - 3DS - Brazil - Games - Translated;Nintendo 3DS Brazil Games Translated
'''Nintendo 64''';Nintendo 64
Nintendo - Nintendo 64;Nintendo 64
n64;Nintendo 64
Nintendo 4;Nintendo 64
Nintendo 6;Nintendo 64
Nintendo 60;Nintendo 64
Nintendo 6444;Nintendo 64
Nintendo 64;Nintendo 64
Nintendo 64 Official;Nintendo 64
Nintendo 65;Nintendo 64
Nintendo 66;Nintendo 64
Nintendo64;Nintendo 64
Project64;Nintendo 64
Nintendo - 64;Nintendo 64
'''Nintendo 64 Brazil Games Translated''';Nintendo 64 Brazil Games Translated
n64br;Nintendo 64 Brazil Games Translated
Nintendo 64 Brazil Games Translated;Nintendo 64 Brazil Games Translated
Nintendo - 64 - Brazil - Games - Translated;Nintendo 64 Brazil Games Translated
'''Nintendo 64 HD''';Nintendo 64 HD
n64h;Nintendo 64 HD
Nintendo 64 HD;Nintendo 64 HD
Nintendo - 64 - HD;Nintendo 64 HD
'''Nintendo 64DD''';Nintendo 64DD
64dd;Nintendo 64DD
n64dd;Nintendo 64DD
Nintendo 64DD;Nintendo 64DD
Nintendo - 64DD;Nintendo 64DD
'''Nintendo DS''';Nintendo DS
Nintendo - Nintendo DS;Nintendo DS
DS;Nintendo DS
nds;Nintendo DS
ds;Nintendo DS
Nintendo DS;Nintendo DS
Nintendo DS Official;Nintendo DS
Nintendo - DS;Nintendo DS
'''Nintendo DS Brazil Games Translated''';Nintendo DS Brazil Games Translated
ndsbr;Nintendo DS Brazil Games Translated
Nintendo DS Brazil Games Translated;Nintendo DS Brazil Games Translated
Nintendo - DS - Brazil - Games - Translated;Nintendo DS Brazil Games Translated
'''Nintendo Entertainment System''';Nintendo Entertainment System
Nintendo - Nintendo Entertainment System;Nintendo Entertainment System
nes;Nintendo Entertainment System
NES;Nintendo Entertainment System
NES/Famicom;Nintendo Entertainment System
Nintendo 8 bits;Nintendo Entertainment System
Nintendo Entertainment System;Nintendo Entertainment System
Nintendo Entertainment System Official;Nintendo Entertainment System
Nintendo - Entertainment - System;Nintendo Entertainment System
'''Nintendo Entertainment System Brazil Games Translated''';Nintendo Entertainment System Brazil Games Translated
nesbr;Nintendo Entertainment System Brazil Games Translated
Nintendo Entertainment System Brazil Games Translated;Nintendo Entertainment System Brazil Games Translated
Nintendo - Entertainment - System - Brazil - Games - Translated;Nintendo Entertainment System Brazil Games Translated
'''Nintendo Entertainment System Hacks''';Nintendo Entertainment System Hacks
nesh;Nintendo Entertainment System Hacks
Nintendo Entertainment System Hacks;Nintendo Entertainment System Hacks
System Hacks - NES;Nintendo Entertainment System Hacks
Nintendo - Entertainment - System - Hacks;Nintendo Entertainment System Hacks
'''Nintendo Entertainment System Homebrew''';Nintendo Entertainment System Homebrew
Nintendo Entertainment System Homebrew;Nintendo Entertainment System Homebrew
System Homebrew - NES;Nintendo Entertainment System Homebrew
Nintendo - Entertainment - System - Homebrew;Nintendo Entertainment System Homebrew
'''Nintendo Entertainment System Homebrews''';Nintendo Entertainment System Homebrews
NES Homebrew Collection;Nintendo Entertainment System Homebrews
Nintendo Entertainment System Homebrews;Nintendo Entertainment System Homebrews
Nintendo NES Homebrew;Nintendo Entertainment System Homebrews
System Homebrews - NES;Nintendo Entertainment System Homebrews
Nintendo - Entertainment - System - Homebrews;Nintendo Entertainment System Homebrews
'''Nintendo Entertainment System Mini''';Nintendo Entertainment System Mini
nesmini;Nintendo Entertainment System Mini
Nintendo Entertainment System Mini;Nintendo Entertainment System Mini
Nintendo - Entertainment - System - Mini;Nintendo Entertainment System Mini
'''Nintendo Famicom''';Nintendo Famicom
famicom;Nintendo Famicom
Famicom;Nintendo Famicom
Nintendo Famicom;Nintendo Famicom
Nintendo - Famicom;Nintendo Famicom
'''Nintendo Famicom Disk System''';Nintendo Famicom Disk System
fds;Nintendo Famicom Disk System
Nintendo Famicom Disk System;Nintendo Famicom Disk System
Nintendo - Famicom - Disk - System;Nintendo Famicom Disk System
'''Nintendo Game & Watch''';Nintendo Game & Watch
Game & Watch;Nintendo Game & Watch
Game and Watch Official;Nintendo Game & Watch
gameandwatch;Nintendo Game & Watch
gw;Nintendo Game & Watch
Nintendo Game & Watch;Nintendo Game & Watch
Nintendo - Game - & - Watch;Nintendo Game & Watch
'''Nintendo Game Boy''';Nintendo Game Boy
Nintendo - Game Boy;Nintendo Game Boy
Game Boy;Nintendo Game Boy
Game Boy Official;Nintendo Game Boy
GameBoy;Nintendo Game Boy
GAMEBOY;Nintendo Game Boy
gb;Nintendo Game Boy
Gboy;Nintendo Game Boy
Nintendo Game Boy;Nintendo Game Boy
Nintendo - Game - Boy;Nintendo Game Boy
'''Nintendo Game Boy 2p''';Nintendo Game Boy 2p
'''Nintendo Game Boy 2P''';Nintendo Game Boy 2P
Game Boy Official 2P;Nintendo Game Boy 2p
gb2players;Nintendo Game Boy 2P
Nintendo Game Boy 2P;Nintendo Game Boy 2P
Nintendo - Game - Boy - 2p;Nintendo Game Boy 2p
Nintendo - Game - Boy - 2P;Nintendo Game Boy 2P
'''Nintendo Game Boy Advance''';Nintendo Game Boy Advance
G Boy Advance;Nintendo Game Boy Advance
Game Boy Adv;Nintendo Game Boy Advance
Game Boy Advance;Nintendo Game Boy Advance
Game Boy Advance Official;Nintendo Game Boy Advance
Game BoyAdvance;Nintendo Game Boy Advance
GameBoy Advance;Nintendo Game Boy Advance
GameBoyAdvance;Nintendo Game Boy Advance
gba;Nintendo Game Boy Advance
MyZoom;Nintendo Game Boy Advance
Nintendo Game Boy Advance;Nintendo Game Boy Advance
vba;Nintendo Game Boy Advance
Nintendo vba;Nintendo Game Boy Advance
VBA;Nintendo Game Boy Advance
No$GBA;Nintendo Game Boy Advance
Nintendo - Game - Boy - Advance;Nintendo Game Boy Advance
Nintendo - Game Boy Advance;Nintendo Game Boy Advance
'''Nintendo Game Boy Advance Brazil Games Translated''';Nintendo Game Boy Advance Brazil Games Translated
gbabr;Nintendo Game Boy Advance Brazil Games Translated
Nintendo Game Boy Advance Brazil Games Translated;Nintendo Game Boy Advance Brazil Games Translated
Nintendo - Game - Boy - Advance - Brazil - Games - Translated;Nintendo Game Boy Advance Brazil Games Translated
'''Nintendo Game Boy Brazil Games Translated''';Nintendo Game Boy Brazil Games Translated
gbbr;Nintendo Game Boy Brazil Games Translated
Nintendo Game Boy Brazil Games Translated;Nintendo Game Boy Brazil Games Translated
Nintendo - Game - Boy - Brazil - Games - Translated;Nintendo Game Boy Brazil Games Translated
'''Nintendo Game Boy Color''';Nintendo Game Boy Color
Nintendo - Game Boy Color;Nintendo Game Boy Color
Game Boy Color;Nintendo Game Boy Color
Game Boy Color Official;Nintendo Game Boy Color
GameBoy Color;Nintendo Game Boy Color
GameBoyColor;Nintendo Game Boy Color
gbc;Nintendo Game Boy Color
Nintendo Game Boy Color;Nintendo Game Boy Color
Nintendo - Game - Boy - Color;Nintendo Game Boy Color
'''Nintendo Game Boy Color 2p''';Nintendo Game Boy Color 2p
'''Nintendo Game Boy Color 2P''';Nintendo Game Boy Color 2P
Game Boy Color Official 2P;Nintendo Game Boy Color 2p
gbc2players;Nintendo Game Boy Color 2P
Nintendo Game Boy Color 2p;Nintendo Game Boy Color 2p
Nintendo - Game - Boy - Color - 2p;Nintendo Game Boy Color 2p
Nintendo - Game - Boy - Color - 2P;Nintendo Game Boy Color 2P
'''Nintendo Game Boy Color Brazil Games Translated''';Nintendo Game Boy Color Brazil Games Translated
gbcbr;Nintendo Game Boy Color Brazil Games Translated
Nintendo Game Boy Color Brazil Games Translated;Nintendo Game Boy Color Brazil Games Translated
Nintendo - Game - Boy - Color - Brazil - Games - Translated;Nintendo Game Boy Color Brazil Games Translated
'''Nintendo GameCube''';Nintendo GameCube
Nintendo - GameCube;Nintendo GameCube
game cube;Nintendo GameCube
gamecube;Nintendo GameCube
gamecube;Nintendo GameCube
GameCube;Nintendo GameCube
GameCube Official;Nintendo GameCube
Gamecube Wii;Nintendo GameCube
gc;Nintendo GameCube
Nintendo GameCube;Nintendo GameCube
Nintendo Pokemon Mini;Nintendo Pokemon Mini
Nintendo - Pokemon - Mini;Nintendo Pokemon Mini
'''Nintendo Satellaview''';Nintendo Satellaview
Nintendo Satellaview;Nintendo Satellaview
satellaview;Nintendo Satellaview
Nintendo - Satellaview;Nintendo Satellaview
'''Nintendo Sufami Turbo''';Nintendo Sufami Turbo
Nintendo Sufami Turbo;Nintendo Sufami Turbo
sufami;Nintendo Sufami Turbo
Nintendo - Sufami - Turbo;Nintendo Sufami Turbo
'''Nintendo Super Famicom''';Nintendo Super Famicom
'Nintendo ''Nintendo Super Famicom''';Nintendo Super Famicom
'Nintendo Nintendo Nintendo ''Nintendo Super Famicom''';Nintendo Super Famicom
Nintendo Nintendo Nintendo Nintendo Nintendo Super Famicom;Nintendo Super Famicom
Nintendo Super Famicom;Nintendo Super Famicom
sfc;Nintendo Super Famicom
snesj;Nintendo Super Famicom
Super Famicom;Nintendo Super Famicom
Nintendo - Super - Famicom;Nintendo Super Famicom
Nintendo - Super Famicom;Nintendo Super Famicom
Nintendo Super Game Boy;Nintendo Super Game Boy
Nintendo - Super - Game - Boy;Nintendo Super Game Boy
'''Nintendo Switch''';Nintendo Switch
Nintendo Switch;Nintendo Switch
Switch;Nintendo Switch
switch;Nintendo Switch
Nintendo - Switch;Nintendo Switch
yuzu-windows-msvc;Nintendo Switch
Yuzu;Nintendo Switch
Nintendo Switch (ryujinx);Nintendo Switch (ryujinx)
Ryujinx;Nintendo Switch (Ryujinx)
ryujinx-1.1.111-win_x64;Nintendo Switch (Ryujinx)
'''Nintendo Virtual Boy''';Nintendo Virtual Boy
Nintendo Virtual Boy;Nintendo Virtual Boy
Virtual Boy;Nintendo Virtual Boy
Virtual Boy Official;Nintendo Virtual Boy
virtualboy;Nintendo Virtual Boy
Nintendo - Virtual - Boy;Nintendo Virtual Boy
'''Nintendo Wii''';Nintendo Wii
Nintendo - Wii;Nintendo Wii
Dolphin;Nintendo Wii
Nintendo Wii;Nintendo Wii
wii;Nintendo Wii
Wii Official;Nintendo Wii
dolphin;Nintendo Wii
dolphin-master-5.0-16101-x64;Nintendo Wii
Dolphin;Nintendo Wii
'''Nintendo Wii Brazil Games Translated''';Nintendo Wii Brazil Games Translated
Nintendo Wii Brazil Games Translated;Nintendo Wii Brazil Games Translated
wiibr;Nintendo Wii Brazil Games Translated
Nintendo - Wii - Brazil - Games - Translated;Nintendo Wii Brazil Games Translated
'''Nintendo Wii Hacks''';Nintendo Wii Hacks
Nintendo Wii Hacks;Nintendo Wii Hacks
System Hacks - Wii;Nintendo Wii Hacks
Nintendo - Wii - Hacks;Nintendo Wii Hacks
'''Nintendo Wii Homebrew''';Nintendo Wii Homebrew
Nintendo Wii Homebrew;Nintendo Wii Homebrew
System Homebrew - Wii;Nintendo Wii Homebrew
Nintendo - Wii - Homebrew;Nintendo Wii Homebrew
'''Nintendo Wii U''';Nintendo Wii U
wiiu;Nintendo Wii U
Nintendo - Wii U;Nintendo Wii U
Nintendo Wii U;Nintendo Wii U
Nintendo Wii_U;Nintendo Wii U
Nintendo - Wii - U;Nintendo Wii U
wii u;Nintendo Wii U
cemu;Nintendo Wii U
Cemu;Nintendo Wii U
cemu_1.26.2;Nintendo Wii U
Nintendo WiiWare;Nintendo WiiWare
WiiWare;Nintendo WiiWare
Nintendo - WiiWare;Nintendo WiiWare
Nokia N-Gage;Nokia N-Gage
Nokia - N-Gage;Nokia N-Gage
'''OpenBor''';OpenBor
openbor;OpenBor
OpenBor;OpenBor
OpenBOR Official;OpenBor
'''Othello Multivision''';Othello Multivision
multivision;Othello Multivision
Othello Multivision;Othello Multivision
Othello - Multivision;Othello Multivision
OUYA;OUYA
'''Palm''';Palm
palm;Palm
Palm;Palm
'''PC Games''';PC Games
GamesForWindows;PC Games
Windows - Games;PC Games
Windows Games;PC Games
Games Windows;PC Games
Microsoft PC Games 3.x;PC Games
pc;PC Games
PC Games;PC Games
PCGAME;PC Games
Windows;PC Games
PC - Games;PC Games
'''Phantom System''';Phantom System
nesbr1;Phantom System
Phantom System;Phantom System
Phantom - System;Phantom System
Philips CD-i;Philips CD-i
Philips - CD-i;Philips CD-i
Philips - CD-I;Philips CD-i
'''Pinball Arcade''';Pinball Arcade
Pinball Arcade;Pinball Arcade
The Pinball Arcade;Pinball Arcade
Visual Pinball;Pinball Arcade
vpinball;Pinball Arcade
Pinball - Arcade;Pinball Arcade
Pinball FX2;Pinball FX2
Pinball - FX2;Pinball FX2
Pinball FX3;Pinball FX3
Pinball - FX3;Pinball FX3
'''Pioneer Palcom Laserdisc''';Pioneer Palcom Laserdisc
Pioneer Palcom Laserdisc;Pioneer Palcom Laserdisc
Pioneer - Palcom - Laserdisc;Pioneer Palcom Laserdisc
'''Pokemon Mini''';Pokemon Mini
pokemini;Pokemon Mini
Pokemon Mini;Pokemon Mini
Pokï¿½mon Mini;Pokemon Mini
Pokemon - Mini;Pokemon Mini
PopCap - PopCap;PopCap
RCA Studio II;RCA Studio II
RCA - Studio - II;RCA Studio II
RetroArch;RetroArch
'''Sammy Atomiswave''';Sammy Atomiswave
Atomiswave;Sammy Atomiswave
atomiswave;Sammy Atomiswave
Sammy - Atomiswave;Sammy Atomiswave
Atomiswave Official;Sammy Atomiswave
sammy;Sammy Atomiswave
Sammy Atomiswave;Sammy Atomiswave
'''ScummVM''';ScummVM
Scumm;ScummVM
scummvm;ScummVM
ScummVM;ScummVM
ScummVM Official;ScummVM
'''Sega 32X''';Sega 32X
32X;Sega 32X
Sega 32;Sega 32X
Sega 32X;Sega 32X
Sega 32X Official;Sega 32X
Sega-32X;Sega 32X
sega32;Sega 32X
Sega32X;Sega 32X
sega32x;Sega 32X
Sega - 32X;Sega 32X
'''Sega CD''';Sega CD
Sega - Mega-CD - Sega CD;Sega CD
Sega - Sega CD;Sega CD
Sega - Sega-CD;Sega CD
Sega CD;Sega CD
