rom_wrong_name;rom_official_name;alt_rom_official_name
The World Warrior (USA 910306);sf2uc;Street Fighter II
The World Warrior (USA 910318);sf2ud;Street Fighter II
The World Warrior (USA 910228);sf2ue;Street Fighter II
The World Warrior (USA 910411);sf2uf;Street Fighter II
The World Warrior (USA 910522, Rev. G);sf2ug;Street Fighter II
The World Warrior (USA 910522, Rev. H);sf2uh;Street Fighter II
The World Warrior (USA 910522, Rev. I);sf2ui;Street Fighter II
The World Warrior (USA 911101);sf2uk;Street Fighter II
The World Warrior (USA 920312);sf2um;Street Fighter II
'Warriors'' Dreams (Euro 950727)';sfa;Street Fighter Alpha
;sfa2;Street Fighter Alpha 2 (Euro 960229)
;sfa2u;Street Fighter Alpha 2 (USA 960430)
;sfa2ur1;Street Fighter Alpha 2 (USA 960306)
;sfa3;Street Fighter Alpha 3 (Euro 980904)
;sfa3b;Street Fighter Alpha 3 (Brazil 980629)
;sfa3h;Street Fighter Alpha 3 (Hispanic 980904)
;sfa3hr1;Street Fighter Alpha 3 (Hispanic 980629)
;sfa3u;Street Fighter Alpha 3 (USA 980904)
;sfa3ur1;Street Fighter Alpha 3 (USA 980629)
;sfa3us;Street Fighter Alpha 3 (USA 980616, SAMPLE Version)
'Warriors'' Dreams (CPS Changer, Publicity USA 950727)';sfach;Street Fighter Alpha
;sfan;Street Fighter (World, pneumatic buttons)
'Warriors'' Dreams (Euro 950718)';sfar1;Street Fighter Alpha
'Warriors'' Dreams (Euro 950627)';sfar2;Street Fighter Alpha
'Warriors'' Dreams (Euro 950605)';sfar3;Street Fighter Alpha
'Warriors'' Dreams (USA 950627)';sfau;Street Fighter Alpha
;sfex;Street Fighter EX (Euro 961219)
;sfex2;Street Fighter EX2 (Euro 980312)
;sfex2a;Street Fighter EX2 (Asia 980312)
;sfex2h;Street Fighter EX2 (Hispanic 980312)
;sfex2j;Street Fighter EX2 (Japan 980312)
;sfex2p;Street Fighter EX2 Plus (Euro 990611)
;sfex2pa;Street Fighter EX2 Plus (Asia 990611)
;sfex2ph;Street Fighter EX2 Plus (Hispanic 990611)
;sfex2pj;Street Fighter EX2 Plus (Japan 990611)
;sfex2pu;Street Fighter EX2 Plus (USA 990611)
;sfex2u;Street Fighter EX2 (USA 980526)
;sfex2u1;Street Fighter EX2 (USA 980312)
;sfexa;Street Fighter EX (Asia 961219)
;sfexj;Street Fighter EX (Japan 961130)
;sfexp;Street Fighter EX Plus (USA 970407)
;sfexpj;Street Fighter EX Plus (Japan 970407)
;sfexpj1;Street Fighter EX Plus (Japan 970311)
;sfexpu1;Street Fighter EX Plus (USA 970311)
;sfexu;Street Fighter EX (USA 961219)
;sfight;Sonic the Fighters (Japan)
New Generation (Euro 970204);sfiii;Street Fighter III
Giant Attack (USA 970930);sfiii2;Street Fighter III 2nd Impact
Giant Attack (Japan 970930);sfiii2j;Street Fighter III 2nd Impact
Giant Attack (Asia 970930, NO CD);sfiii2n;Street Fighter III 2nd Impact
Fight for the Future (Euro 990608);sfiii3;Street Fighter III 3rd Strike
Fight for the Future (Japan 990608);sfiii3j;Street Fighter III 3rd Strike
Fight for the Future (Japan 990512);sfiii3jr1;Street Fighter III 3rd Strike
Fight for the Future (Japan 990608, NO CD);sfiii3n;Street Fighter III 3rd Strike
Fight for the Future (Japan 990512, NO CD);sfiii3nr1;Street Fighter III 3rd Strike
Fight for the Future (Euro 990512);sfiii3r1;Street Fighter III 3rd Strike
Fight for the Future (USA 990608);sfiii3u;Street Fighter III 3rd Strike
Fight for the Future (USA 990512);sfiii3ur1;Street Fighter III 3rd Strike
New Generation (Asia 970204);sfiiia;Street Fighter III
New Generation (Hispanic 970204);sfiiih;Street Fighter III
New Generation (Japan 970204);sfiiij;Street Fighter III
New Generation (Asia 970204, NO CD, bios set 1);sfiiin;Street Fighter III
New Generation (Asia 970204, NO CD, bios set 2);sfiiina;Street Fighter III
New Generation (USA 970204);sfiiiu;Street Fighter III
;sfj;Street Fighter (Japan) (protected)
;sfjan;Street Fighter (Japan, pneumatic buttons)
;sfp;Street Fighter (prototype)
The Movie (v1.12);sftm;Street Fighter
The Movie (v1.10);sftm110;Street Fighter
The Movie (v1.11);sftm111;Street Fighter
The Movie (v1.12N, Japan);sftmj112;Street Fighter
The Movie (v1.14N, Japan);sftmj114;Street Fighter
;sfua;Street Fighter (US, set 2) (protected)
;sfw;Street Fighter (World) (protected)
;sfz2a;Street Fighter Zero 2 (Asia 960227)
;sfz2al;Street Fighter Zero 2 Alpha (Asia 960826)
;sfz2alb;Street Fighter Zero 2 Alpha (Brazil 960813)
;sfz2alh;Street Fighter Zero 2 Alpha (Hispanic 960813)
;sfz2alj;Street Fighter Zero 2 Alpha (Japan 960805)
;sfz2alr1;Street Fighter Zero 2 Alpha (Asia 960805)
;sfz2b;Street Fighter Zero 2 (Brazil 960531)
;sfz2br1;Street Fighter Zero 2 (Brazil 960304)
;sfz2h;Street Fighter Zero 2 (Hispanic 960304)
;sfz2j;Street Fighter Zero 2 (Japan 960430)
;sfz2jr1;Street Fighter Zero 2 (Japan 960227)
;sfz2n;Street Fighter Zero 2 (Oceania 960229)
;sfz3a;Street Fighter Zero 3 (Asia 980904)
;sfz3ar1;Street Fighter Zero 3 (Asia 980701)
;sfz3j;Street Fighter Zero 3 (Japan 980904)
;sfz3jr1;Street Fighter Zero 3 (Japan 980727)
;sfz3jr2;Street Fighter Zero 3 (Japan 980629)
;sfza;Street Fighter Zero (Asia 950627)
;sfzar1;Street Fighter Zero (Asia 950605)
;sfzb;Street Fighter Zero (Brazil 951109)
;sfzbch;Street Fighter Zero (CPS Changer, Brazil 950727)
;sfzbr1;Street Fighter Zero (Brazil 950727)
;sfzch;Street Fighter Zero (CPS Changer, Japan 951020)
;sfzh;Street Fighter Zero (Hispanic 950718)
;sfzhr1;Street Fighter Zero (Hispanic 950627)
;sfzj;Street Fighter Zero (Japan 950727)
;sfzjr1;Street Fighter Zero (Japan 950627)
;sfzjr2;Street Fighter Zero (Japan 950605)
;sgemf;Super Gem Fighter Mini Mix (USA 970904)
Mini Mix (Asia 970904);sgemfa;Super Gem Fighter
Mini Mix (Hispanic 970904);sgemfh;Super Gem Fighter
;slammast;Saturday Night Slam Masters (World 930713)
;slammastu;Saturday Night Slam Masters (USA 930713)
The International Blowout (Japan 940831);smbomb;Super Muscle Bomber
The International Blowout (Japan 940808);smbombr1;Super Muscle Bomber
;sncwgltd;Sonic Wings Limited (Japan)
;sonicwi3;Aero Fighters 3 / Sonic Wings 3
;soulclbr;Soul Calibur (World, SOC14/VER.C)
;soulclbrja;Soul Calibur (Japan, SOC11/VER.A2)
;soulclbrjb;Soul Calibur (Japan, SOC11/VER.B)
;soulclbrjc;Soul Calibur (Japan, SOC11/VER.C)
;soulclbrub;Soul Calibur (US, SOC13/VER.B)
;soulclbruc;Soul Calibur (US, SOC13/VER.C)
;soulclbrwb;Soul Calibur (World, SOC14/VER.B)
;souledge;Soul Edge Ver. II (Asia, SO4/VER.C)
;souledgea;Soul Edge (World, SO2/VER.A)
;souledgeja;Soul Edge (Japan, SO1/VER.A)
;souledgeua;Soul Edge (US, SO3/VER.A)
;souledgeuc;Soul Edge Ver. II (US, SO3/VER.C)
The New Challengers (World 931005);ssf2;Super Street Fighter II
The New Challengers (Asia 931005);ssf2a;Super Street Fighter II
The New Challengers (Asia 930914);ssf2ar1;Super Street Fighter II
The New Challengers (Hispanic 930911);ssf2h;Super Street Fighter II
The New Challengers (Japan 931005);ssf2j;Super Street Fighter II
The New Challengers (Japan 930911);ssf2jr1;Super Street Fighter II
The New Challengers (Japan 930910);ssf2jr2;Super Street Fighter II
The New Challengers (World 930911);ssf2r1;Super Street Fighter II
;ssf2t;Super Street Fighter II Turbo (World 940223)
;ssf2ta;Super Street Fighter II Turbo (Asia 940223)
The Tournament Battle (World 931119);ssf2tb;Super Street Fighter II
The Tournament Battle (Asia 931005);ssf2tba;Super Street Fighter II
The Tournament Battle (Hispanic 931005);ssf2tbh;Super Street Fighter II
The Tournament Battle (Japan 931005);ssf2tbj;Super Street Fighter II
The Tournament Battle (Japan 930911);ssf2tbj1;Super Street Fighter II
The Tournament Battle (World 930911);ssf2tbr1;Super Street Fighter II
The Tournament Battle (USA 930911);ssf2tbu;Super Street Fighter II
;ssf2th;Super Street Fighter II Turbo (Hispanic 940223)
;ssf2tu;Super Street Fighter II Turbo (USA 940323)
;ssf2tur1;Super Street Fighter II Turbo (USA 940223)
The New Challengers (USA 930911);ssf2u;Super Street Fighter II
Grand Master Challenge (Japan 940311);ssf2xj;Super Street Fighter II X
Grand Master Challenge (Japan 940223);ssf2xjr1;Super Street Fighter II X
Grand Master Challenge (Japan 940223 rent version);ssf2xjr1r;Super Street Fighter II X
;ssoldier;Superior Soldiers (US)
Final Crusade (USA 960627);starglad;Star Gladiator Episode I
Final Crusade (Japan 960627);stargladj;Star Gladiator Episode I
Nightmare of Bilstein (Japan 980316);stargld2;Star Gladiator 2
;suikoenb;Suiko Enbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001)
;survarts;Survival Arts (World)
;survartsj;Survival Arts (Japan)
;survartsu;Survival Arts (USA)
;svc;SNK vs. Capcom - SVC Chaos (NGM-2690 ~ NGH-2690)
;svcpcb;SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1)
;svcpcba;SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 2)
;svg;S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V200) (ARM label V200, ROM 10/11/05 S.V.G V201)
;svghk;S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V101HK) (ARM label V101HK, ROM 06/20/05 S.V.G V100)
;svgpcb;S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V100JP) (ARM label V100JP, ROM 05/12/05 S.V.G V100) (Japan, JAMMA PCB)
;svgtw;S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V101TW) (ARM label V101TW, ROM 06/20/05 S.V.G V100)
;tattass;Tattoo Assassins (US prototype, Mar 14 1995)
;tattassa;Tattoo Assassins (Asia prototype, Mar 14 1995)
;tekken;Tekken (World, TE2/VER.C)
;tekken2;Tekken 2 Ver.B (US, TES3/VER.D)
;tekken2a;Tekken 2 (World, TES2/VER.A)
;tekken2b;Tekken 2 Ver.B (World, TES2/VER.B)
;tekken2jb;Tekken 2 Ver.B (Japan, TES1/VER.B)
;tekken2jc;Tekken 2 Ver.B (Japan, TES1/VER.C)
;tekken2ub;Tekken 2 Ver.B (US, TES3/VER.B)
;tekken3;Tekken 3 (World, TET2/VER.E1)
;tekken3a;Tekken 3 (World, TET2/VER.A)
;tekken3b;Tekken 3 (World, TET2/VER.B)
;tekken3d;Tekken 3 (World, TET2/VER.D)
;tekken3ja;Tekken 3 (Japan, TET1/VER.A)
;tekken3je1;Tekken 3 (Japan, TET1/VER.E1)
;tekken3ua;Tekken 3 (US, TET3/VER.A)
;tekken3ud;Tekken 3 (US, TET3/VER.D)
;tekkenac;Tekken (Asia, TE4/VER.C)
;tekkenb;Tekken (World, TE2/VER.B)
;tekkenjb;Tekken (Japan, TE1/VER.B)
;tektagt;Tekken Tag Tournament (World, TEG2/VER.C1, set 1)
;tektagtc1;Tekken Tag Tournament (World, TEG2/VER.C1, set 2)
;tektagtja;Tekken Tag Tournament (Japan, TEG1/VER.A3)
;tektagtjb;Tekken Tag Tournament (Japan, TEG1/VER.B)
;tektagtjc1;Tekken Tag Tournament (Japan, TEG1/VER.C1)
;tektagtub;Tekken Tag Tournament (US, TEG3/VER.B)
;tektagtuc1;Tekken Tag Tournament (US, TEG3/VER.C1)
;timekill;Time Killers (v1.32)
;timekill100;Time Killers (v1.00)
;timekill120;Time Killers (v1.20, alternate ROM board)
;timekill121;Time Killers (v1.21)
;timekill121a;Time Killers (v1.21, alternate ROM board)
;timekill131;Time Killers (v1.31)
;timekill132i;Time Killers (v1.32I)
;tkdensho;Toukidenshou - Angel Eyes (VER. 960614)
;tkdenshoa;Toukidenshou - Angel Eyes (VER. 960427)
;tophuntr;Top Hunter - Roddy & Cathy (NGM-046)
;tophuntrh;Top Hunter - Roddy & Cathy (NGH-046)
;ts2;Battle Arena Toshinden 2 (Euro 951124)
;ts2j;Battle Arena Toshinden 2 (Japan 951124)
;ts2ja;Battle Arena Toshinden 2 (Japan 951124, 32Mb mask ROMs)
;ts2u;Battle Arena Toshinden 2 (USA 951124)
;ts2ua;Battle Arena Toshinden 2 (USA 951124, 32Mb mask ROMs)
;umk3;Ultimate Mortal Kombat 3 (rev 1.2)
;umk3r10;Ultimate Mortal Kombat 3 (rev 1.0)
;umk3r11;Ultimate Mortal Kombat 3 (rev 1.1)
The Night Warriors (Japan 940705);vampj;Vampire
The Night Warriors (Japan 940705 alt);vampja;Vampire
The Night Warriors (Japan 940630);vampjr1;Vampire
;vf;Virtua Fighter
;vf2;Virtua Fighter 2 (Version 2.1)
;vf2a;Virtua Fighter 2 (Revision A)
;vf2b;Virtua Fighter 2 (Revision B)
;vf2o;Virtua Fighter 2
Darkstalkers Revenge (Japan 970929);vhunt2;Vampire Hunter 2
Darkstalkers Revenge (Japan 970913);vhunt2r1;Vampire Hunter 2
'Darkstalkers'' Revenge (Japan 950316)';vhuntj;Vampire Hunter
'Darkstalkers'' Revenge (Japan 950307)';vhuntjr1;Vampire Hunter
'Darkstalkers'' Revenge (Japan 950307 stop version)';vhuntjr1s;Vampire Hunter
'Darkstalkers'' Revenge (Japan 950302)';vhuntjr2;Vampire Hunter
The Lord of Vampire (Euro 970519);vsav;Vampire Savior
The Lord of Vampire (Japan 970913);vsav2;Vampire Savior 2
The Lord of Vampire (Asia 970519);vsava;Vampire Savior
The Lord of Vampire (Brazil 970519);vsavb;Vampire Savior
The Lord of Vampire (Hispanic 970519);vsavh;Vampire Savior
The Lord of Vampire (Japan 970519);vsavj;Vampire Savior
The Lord of Vampire (USA 970519);vsavu;Vampire Savior
;wakuwak7;Waku Waku 7
;wargods;War Gods (HD 10/09/1996 - Dual Resolution)
;wargodsa;War Gods (HD 08/15/1996)
;wargodsb;War Gods (HD 12/11/1995)
;warzard;Warzard (Japan 961121)
;warzardr1;Warzard (Japan 961023)
;wh1;World Heroes (ALM-005)
;wh1h;World Heroes (ALH-005)
;wh1ha;World Heroes (set 3)
;wh2;World Heroes 2 (ALM-006 ~ ALH-006)
;wh2h;World Heroes 2 (ALH-006)
;wh2j;World Heroes 2 Jet (ADM-007 ~ ADH-007)
;whp;World Heroes Perfect
;wof;Warriors of Fate (World 921031)
;wofa;Sangokushi II (Asia 921005)
Sekiheki no Tatakai (CPS Changer, Japan 921031);wofch;Tenchi wo Kurau II
Sekiheki no Tatakai (Japan 921031);wofj;Tenchi wo Kurau II
;wofr1;Warriors of Fate (World 921002)
;wofu;Warriors of Fate (USA 921031)
Children of the Atom (Euro 950331);xmcota;X-Men
Children of the Atom (Asia 950105);xmcotaa;X-Men
Children of the Atom (Asia 941219);xmcotaar1;X-Men
Children of the Atom (Asia 941217);xmcotaar2;X-Men
Children of the Atom (Brazil 950331);xmcotab;X-Men
Children of the Atom (Hispanic 950331);xmcotah;X-Men
Children of the Atom (Hispanic 950105);xmcotahr1;X-Men
Children of the Atom (Japan 950105);xmcotaj;X-Men
Children of the Atom (Japan 941222);xmcotaj1;X-Men
Children of the Atom (Japan 941219);xmcotaj2;X-Men
Children of the Atom (Japan 941217);xmcotaj3;X-Men
Children of the Atom (Japan 941208 rent version);xmcotajr;X-Men
Children of the Atom (Euro 950105);xmcotar1;X-Men
Children of the Atom (USA 950105);xmcotau;X-Men
;xmvsf;X-Men Vs. Street Fighter (Euro 961004)
;xmvsfa;X-Men Vs. Street Fighter (Asia 961023)
;xmvsfar1;X-Men Vs. Street Fighter (Asia 961004)
;xmvsfar2;X-Men Vs. Street Fighter (Asia 960919)
;xmvsfar3;X-Men Vs. Street Fighter (Asia 960910)
;xmvsfb;X-Men Vs. Street Fighter (Brazil 961023)
;xmvsfh;X-Men Vs. Street Fighter (Hispanic 961004)
;xmvsfj;X-Men Vs. Street Fighter (Japan 961023)
;xmvsfjr1;X-Men Vs. Street Fighter (Japan 961004)
;xmvsfjr2;X-Men Vs. Street Fighter (Japan 960910)
;xmvsfjr3;X-Men Vs. Street Fighter (Japan 960909)
;xmvsfr1;X-Men Vs. Street Fighter (Euro 960910)
;xmvsfu;X-Men Vs. Street Fighter (USA 961023)
;xmvsfur1;X-Men Vs. Street Fighter (USA 961004)
;xmvsfur2;X-Men Vs. Street Fighter (USA 960910)
